GOVS_ID,GOVS_ID_14,GOVS State Code,GOVS Type Code,GOVS County Code,Place Name,County Name,FIPS State Code,FIPS County Code,FIPS Place Code
12001001,1.2001E+12,1,2,1,AUTAUGAVILLE TOWN,AUTAUGA,1,1,3220
12001002,1.2001E+12,1,2,1,BILLINGSLEY TOWN,AUTAUGA,1,1,6460
12001003,1.2001E+12,1,2,1,PRATTVILLE CITY,AUTAUGA,1,1,62328
12002001,1.2002E+12,1,2,2,BAY MINETTE CITY,BALDWIN,1,3,4660
12002002,1.2002E+12,1,2,2,DAPHNE CITY,BALDWIN,1,3,19648
12002003,1.2002E+12,1,2,2,ELBERTA TOWN,BALDWIN,1,3,23320
12002004,1.2002E+12,1,2,2,FAIRHOPE CITY,BALDWIN,1,3,25240
12002005,1.2002E+12,1,2,2,FOLEY CITY,BALDWIN,1,3,26992
12002006,1.2002E+12,1,2,2,ROBERTSDALE CITY,BALDWIN,1,3,65208
12002007,1.2002E+12,1,2,2,SILVERHILL TOWN,BALDWIN,1,3,70536
12002008,1.2002E+12,1,2,2,SUMMERDALE TOWN,BALDWIN,1,3,73872
12002201,1.20022E+12,1,2,2,SPANISH FORT CITY,BALDWIN,1,3,71976
12002401,1.20024E+12,1,2,2,ORANGE BEACH CITY,BALDWIN,1,3,57144
12002501,1.20025E+12,1,2,2,GULF SHORES CITY,BALDWIN,1,3,32272
12002502,1.20025E+12,1,2,2,LOXLEY TOWN,BALDWIN,1,3,44608
12003001,1.2003E+12,1,2,3,BLUE SPRINGS TOWN,BARBOUR,1,5,7672
12003002,1.2003E+12,1,2,3,CLAYTON TOWN,BARBOUR,1,5,15376
12003003,1.2003E+12,1,2,3,CLIO TOWN,BARBOUR,1,5,15640
12003004,1.2003E+12,1,2,3,EUFAULA CITY,BARBOUR,1,5,24568
12003005,1.2003E+12,1,2,3,LOUISVILLE TOWN,BARBOUR,1,5,44344
12004001,1.2004E+12,1,2,4,BRENT CITY,BIBB,1,7,9136
12004002,1.2004E+12,1,2,4,CENTREVILLE CITY,BIBB,1,7,13672
12004003,1.2004E+12,1,2,4,WEST BLOCTON TOWN,BIBB,1,7,80928
12004301,1.20043E+12,1,2,4,WOODSTOCK TOWN,BIBB,1,7,55018
12005001,1.2005E+12,1,2,5,BLOUNTSVILLE TOWN,BLOUNT,1,9,7456
12005002,1.2005E+12,1,2,5,HAYDEN TOWN,BLOUNT,1,9,33640
12005003,1.2005E+12,1,2,5,ONEONTA CITY,BLOUNT,1,9,57000
12005501,1.20055E+12,1,2,5,ALLGOOD TOWN,BLOUNT,1,9,1396
12005601,1.20056E+12,1,2,5,SUSAN MOORE TOWN,BLOUNT,1,9,74160
12005801,1.20058E+12,1,2,5,CLEVELAND TOWN,BLOUNT,1,9,15472
12005802,1.20058E+12,1,2,5,HIGHLAND LAKE TOWN,BLOUNT,1,9,34480
12005803,1.20058E+12,1,2,5,SNEAD TOWN,BLOUNT,1,9,71280
12005901,1.20059E+12,1,2,5,ROSA TOWN,BLOUNT,1,9,66408
12005902,1.20059E+12,1,2,5,LOCUST FORK TOWN,BLOUNT,1,9,43888
12005903,1.20059E+12,1,2,5,NACTAR TOWN,BLOUNT,1,9,53448
12006001,1.2006E+12,1,2,6,MIDWAY TOWN,BULLOCK,1,11,48424
12006002,1.2006E+12,1,2,6,UNION SPRINGS CITY,BULLOCK,1,11,77880
12007002,1.2007E+12,1,2,7,GEORGIANA CITY,BUTLER,1,13,29560
12007003,1.2007E+12,1,2,7,GREENVILLE CITY,BUTLER,1,13,31912
12007004,1.2007E+12,1,2,7,MCKENZIE TOWN,BUTLER,1,13,45496
12008001,1.2008E+12,1,2,8,ANNISTON CITY,CALHOUN,1,15,1852
12008002,1.2008E+12,1,2,8,BLUE MOUNTAIN TOWN,CALHOUN,1,15,7552
12008003,1.2008E+12,1,2,8,HOBSON CITY TOWN,CALHOUN,1,15,35152
12008004,1.2008E+12,1,2,8,JACKSONVILLE CITY,CALHOUN,1,15,38272
12008005,1.2008E+12,1,2,8,OHATCHEE TOWN,CALHOUN,1,15,56472
12008006,1.2008E+12,1,2,8,OXFORD CITY,CALHOUN,1,15,57576
12008007,1.2008E+12,1,2,8,PIEDMONT CITY,CALHOUN,1,15,59640
12008008,1.2008E+12,1,2,8,WEAVER CITY,CALHOUN,1,15,80352
12009001,1.2009E+12,1,2,9,FIVE POINTS TOWN,CHAMBERS,1,17,26200
12009002,1.2009E+12,1,2,9,LAFAYETTE CITY,CHAMBERS,1,17,40672
12009003,1.2009E+12,1,2,9,LANETT CITY,CHAMBERS,1,17,41296
12009004,1.2009E+12,1,2,9,WAVERLY TOWN,CHAMBERS,1,17,80256
12009601,1.20096E+12,1,2,9,VALLEY CITY,CHAMBERS,1,17,78204
12010001,1.201E+12,1,2,10,CEDAR BLUFF TOWN,CHEROKEE,1,19,12760
12010002,1.201E+12,1,2,10,CENTRE CITY,CHEROKEE,1,19,13648
12010003,1.201E+12,1,2,10,GAYLESVILLE TOWN,CHEROKEE,1,19,29296
12010401,1.20104E+12,1,2,10,SAND ROCK TOWN,CHEROKEE,1,19,67920
12010801,1.20108E+12,1,2,10,LEESBURG TOWN,CHEROKEE,1,19,42016
12011001,1.2011E+12,1,2,11,CLANTON CITY,CHILTON,1,21,15136
12011002,1.2011E+12,1,2,11,JEMISON TOWN,CHILTON,1,21,38608
12011003,1.2011E+12,1,2,11,MAPLESVILLE TOWN,CHILTON,1,21,46504
12011004,1.2011E+12,1,2,11,THORSBY TOWN,CHILTON,1,21,76080
12012001,1.2012E+12,1,2,12,BUTLER TOWN,CHOCTAW,1,23,11032
12012002,1.2012E+12,1,2,12,GILBER TOWN,CHOCTAW,1,23,29704
12012003,1.2012E+12,1,2,12,SILAS TOWN,CHOCTAW,1,23,70416
12012004,1.2012E+12,1,2,12,TOXEY TOWN,CHOCTAW,1,23,76632
12012601,1.20126E+12,1,2,12,LISMAN TOWN,CHOCTAW,1,23,43384
12012602,1.20126E+12,1,2,12,NEEDHAM TOWN,CHOCTAW,1,23,53472
12012901,1.20129E+12,1,2,12,PENNINGTON TOWN,CHOCTAW,1,23,58968
12013001,1.2013E+12,1,2,13,COFFEEVILLE TOWN,CLARKE,1,25,16264
12013002,1.2013E+12,1,2,13,FULTON TOWN,CLARKE,1,25,28504
12013003,1.2013E+12,1,2,13,GROVE HILL TOWN,CLARKE,1,25,32080
12013004,1.2013E+12,1,2,13,JACKSON CITY,CLARKE,1,25,38152
12013005,1.2013E+12,1,2,13,THOMASVILLE CITY,CLARKE,1,25,75960
12014001,1.2014E+12,1,2,14,ASHLAND CITY,CLAY,1,27,2860
12014002,1.2014E+12,1,2,14,LINEVILLE CITY,CLAY,1,27,43264
12015001,1.2015E+12,1,2,15,EDWARDSVILLE TOWN,CLEBURNE,1,29,23176
12015002,1.2015E+12,1,2,15,FRUITHURST TOWN,CLEBURNE,1,29,28432
12015003,1.2015E+12,1,2,15,HEFLIN CITY,CLEBURNE,1,29,33976
12015501,1.20155E+12,1,2,15,RANBURNE TOWN,CLEBURNE,1,29,63408
12016001,1.2016E+12,1,2,16,ELBA CITY,COFFEE,1,31,23296
12016002,1.2016E+12,1,2,16,ENTERPRISE CITY,COFFEE,1,31,24184
12016003,1.2016E+12,1,2,16,KINSTON TOWN,COFFEE,1,31,40096
12016004,1.2016E+12,1,2,16,NEW BROCKTON TOWN,COFFEE,1,31,53856
12017001,1.2017E+12,1,2,17,CHEROKEE TOWN,COLBERT,1,33,14152
12017002,1.2017E+12,1,2,17,LEIGHTON TOWN,COLBERT,1,33,42160
