variable_pre11,variable_post11,variable_std
Year4,,Year
ID,,GOVS_ID
TypeCode,,GOVS Type Code
Name,,Place Name
,,County Name
Population,,Population
,,FIPS_State_Place
,,FIPS Place Code
,,FIPS County Code
FIPS_State,,FIPS State Code
CensusReg,,Census Region
FTPayCode,,FTPayCode
PTPayCode,,PTPayCode
YearData,,YearData
YearPop,,YearPop
YearDepSch,,YearDepSch
SchLevCode,,SchLevCode
#_Months_Teachers_Paid,,Months_Teachers_Paid
#_Months_Sch_Admin_Paid,,Months_Sch_Admin_Paid
#_Months_Sch_Other Paid,,Months_Sch_Other_Paid
Total Employees,0,Total-Total Emp
Total Payrolls,0,Total-Total Pay
Total FT Employees,0,Total-FT Emp
Total FT Payrolls,0,Total-FT Pay
,0,Total-PT Emp
,0,Total-PT Pay
Total FT Equivalent,0,Total-FT Equiv
Air Trans-Total Emp,1,Air Trans-Total Emp
Air Trans-Total Pay,1,Air Trans-Total Pay
Air Trans-FT Emp,1,Air Trans-FT Emp
Air Trans-FT Pay,1,Air Trans-FT Pay
Air Trans-PT Emp,1,Air Trans-PT Emp
Air Trans-PT Pay,1,Air Trans-PT Pay
Air Trans-FT Equiv,1,Air Trans-FT Equiv
Correction-Total Emp,5,Correction-Total Emp
Correction-Total Pay,5,Correction-Total Pay
Correction-FT Emp,5,Correction-FT Emp
Correction-FT Pay,5,Correction-FT Pay
Correction-PT Emp,5,Correction-PT Emp
Correction-PT Pay,5,Correction-PT Pay
Correction-FT Equiv,5,Correction-FT Equiv
Total Educ-Total Emp,,Total Educ-Total Emp
Total Educ-Total Pay,,Total Educ-Total Pay
Total Educ-FT Emp,,Total Educ-FT Emp
Total Educ-FT Pay,,Total Educ-FT Pay
Total Educ-PT Emp,,Total Educ-PT Emp
Total Educ-PT Pay,,Total Educ-PT Pay
Total Educ-FT Equiv,,Total Educ-FT Equiv
Elem Educ-Total Emp,,Elem Educ-Total Emp
Elem Educ-Total Pay,,Elem Educ-Total Pay
Elem Educ-FT Emp,,Elem Educ-FT Emp
Elem Educ-FT Pay,,Elem Educ-FT Pay
Elem Educ-PT Emp,,Elem Educ-PT Emp
Elem Educ-PT Pay,,Elem Educ-PT Pay
Elem Educ-FT Equiv,,Elem Educ-FT Equiv
Elem Educ-Instr-Total Emp,12,Elem Educ-Instr-Total Emp
Elem Educ-Instr-Total Pay,12,Elem Educ-Instr-Total Pay
Elem Educ-Instr-FT Emp,12,Elem Educ-Instr-FT Emp
Elem Educ-Instr-FT Pay,12,Elem Educ-Instr-FT Pay
Elem Educ-Instr-PT Emp,12,Elem Educ-Instr-PT Emp
Elem Educ-Instr-PT Pay,12,Elem Educ-Instr-PT Pay
Elem Educ-Instr-FT Equiv,12,Elem Educ-Instr-FT Equiv
Elem Educ-Other-Total Emp,112,Elem Educ-Other-Total Emp
Elem Educ-Other-Total Pay,112,Elem Educ-Other-Total Pay
Elem Educ-Other-FT Emp,112,Elem Educ-Other-FT Emp
Elem Educ-Other-FT Pay,112,Elem Educ-Other-FT Pay
Elem Educ-Other-PT Emp,112,Elem Educ-Other-PT Emp
Elem Educ-Other-PT Pay,112,Elem Educ-Other-PT Pay
Elem Educ-Other-FT Equiv,112,Elem Educ-Other-FT Equiv
Elem Educ-Admin-Total Emp,,Elem Educ-Admin-Total Emp
Elem Educ-Admin-Total Pay,,Elem Educ-Admin-Total Pay
Elem Educ-Admin-FT Emp,,Elem Educ-Admin-FT Emp
Elem Educ-Admin-FT Pay,,Elem Educ-Admin-FT Pay
Elem Educ-Admin-PT Emp,,Elem Educ-Admin-PT Emp
Elem Educ-Admin-PT Pay,,Elem Educ-Admin-PT Pay
Elem Educ-Admin-FT Equiv,,Elem Educ-Admin-FT Equiv
Elem Educ-Oper-Total Emp,,Elem Educ-Oper-Total Emp
Elem Educ-Oper-Total Pay,,Elem Educ-Oper-Total Pay
Elem Educ-Oper-FT Emp,,Elem Educ-Oper-FT Emp
Elem Educ-Oper-FT Pay,,Elem Educ-Oper-FT Pay
Elem Educ-Oper-PT Emp,,Elem Educ-Oper-PT Emp
Elem Educ-Oper-PT Pay,,Elem Educ-Oper-PT Pay
Elem Educ-Oper-FT Equiv,,Elem Educ-Oper-FT Equiv
Elem Educ-Cafet-Total Emp,,Elem Educ-Cafet-Total Emp
Elem Educ-Cafet-Total Pay,,Elem Educ-Cafet-Total Pay
Elem Educ-Cafet-FT Emp,,Elem Educ-Cafet-FT Emp
Elem Educ-Cafet-FT Pay,,Elem Educ-Cafet-FT Pay
Elem Educ-Cafet-PT Emp,,Elem Educ-Cafet-PT Emp
Elem Educ-Cafet-PT Pay,,Elem Educ-Cafet-PT Pay
Elem Educ-Cafet-FT Equiv,,Elem Educ-Cafet-FT Equiv
Elem Educ-Bus-Total Emp,,Elem Educ-Bus-Total Emp
Elem Educ-Bus-Total Pay,,Elem Educ-Bus-Total Pay
Elem Educ-Bus-FT Emp,,Elem Educ-Bus-FT Emp
Elem Educ-Bus-FT Pay,,Elem Educ-Bus-FT Pay
Elem Educ-Bus-PT Emp,,Elem Educ-Bus-PT Emp
Elem Educ-Bus-PT Pay,,Elem Educ-Bus-PT Pay
Elem Educ-Bus-FT Equiv,,Elem Educ-Bus-FT Equiv
Elem Educ-Health-Total Emp,,Elem Educ-Health-Total Emp
Elem Educ-Health-Total Pay,,Elem Educ-Health-Total Pay
Elem Educ-Health-FT Emp,,Elem Educ-Health-FT Emp
Elem Educ-Health-FT Pay,,Elem Educ-Health-FT Pay
