variable_pre13,variable_std,description,pre13_file,variable_post13
Year4,Year,,a.Txt,
ID,GOVS_ID,,a.Txt,
Type Code,GOVS Type Code,,a.Txt,
Name,Place Name,,a.Txt,
,County Name,,,from Fin_GID_2013/4.txt
Population,Population,,a.Txt,from Fin_GID_2013/4.txt
,FIPS_State_Place,,a.Txt.derive,derived from Fin_GID_2013/4.txt
,FIPS Place Code,,,from Fin_GID_2013/4.txt
,FIPS County Code,,,from Fin_GID_2013/4.txt
,FunctCode,,,from Fin_GID_2013/4.txt
FIPS Code-State,FIPS State Code,,a.Txt,from Fin_GID_2013/4.txt
Census Region,Census Region,,a.Txt,
FYEndDate,FYEndDate,,a.Txt,from Fin_GID_2013/4.txt
YearofData,YearofData,,a.Txt,from Fin_GID_2013/4.txt
YearPop,YearPop,,a.Txt,from Fin_GID_2013/4.txt
YearDepSch,YearDepSch,,a.Txt,
YearRetire,YearRetire,,a.Txt,
SchLevCode,SchLevCode,,a.Txt,from Fin_GID_2013/4.txt
Imputed Record,Imputed Record,,a.Txt,
Total Revenue,Total Revenue,Total Revenue....................................................................................................,a.Txt,DDD
Total Rev-Own Sources,Total Rev-Own Sources,Total Revenue from Own Sources.....................................................................,a.Txt,DDD
General Revenue,General Revenue,General Revenue...................................................................................................,a.Txt,DDD
Gen Rev-Own Sources,Gen Rev-Own Sources,General Revenue from Own Sources.................................................................,a.Txt,DDD
Total Taxes,Total Taxes,Total Taxes..........................................................................................................,a.Txt,T--
Property Tax,Property Tax,  Property Tax......................................................................................................,a.Txt,T01
Tot Sales & Gr Rec Tax,Tot Sales & Gr Rec Tax,  Total Sales and Gross Receipts Taxes........................................................................................,a.Txt,DDD
Total Gen Sales Tax,Total Gen Sales Tax,    General Sales Tax (includes T08 for Federal Government).........................................................,a.Txt,T09
Total Select Sales Tax,Total Select Sales Tax,    Total Selective Sales Taxes..............................................................................,a.Txt,DDD
Alcoholic Beverage Tax,Alcoholic Beverage Tax,      Alcoholic beverage tax.................................................................................,a.Txt,T10
Amusement Tax,Amusement Tax,      Amusement tax.................................................................................................,a.Txt,T11
Insurance Premium Tax,Insurance Premium Tax,      Insurance premium tax..................................................................................,a.Txt,T12
Motor Fuels Tax,Motor Fuels Tax,      Motor fuels tax..............................................................................................,a.Txt,T13
Pari-mutuels Tax,Pari-mutuels Tax,      Pari-mutuels tax...........................................................................................,a.Txt,T14
Public Utility Tax,Public Utility Tax,      Public utilities tax............................................................................................,a.Txt,T15
Tobacco Tax,Tobacco Tax,      Tobacco tax...................................................................................................,a.Txt,T16
Other Select Sales Tax,Other Select Sales Tax,      Other selective sales tax............................................................................,a.Txt,T19
Total License Taxes,Total License Taxes,  Total License Taxes.........................................................................................,a.Txt,DDD
Alcoholic Beverage Lic,Alcoholic Beverage Lic,    Alcoholic beverage licenses..............................................................................,a.Txt,T20
Amusement License,Amusement License,    Amusement licenses...............................................................................................,a.Txt,T21
Corporation License,Corporation License,    Corporation licenses...........................................................................................,a.Txt,T22
Hunting & Fishing License,Hunting & Fishing License,    Hunting and fishing licenses......................................................................,a.Txt,T23
Motor Vehicle License,Motor Vehicle License,       Motor vehicle licenses................................................................................,a.Txt,T24
Motor Veh Oper License,Motor Veh Oper License,       Motor vehicle operator licenses......................................................................,a.Txt,T25
Public Utility License,Public Utility License,    Public utility licenses...................................................................................,a.Txt,T27
Occup and Bus Lic NEC,Occup and Bus Lic NEC,"    Occupation and business licenses, NEC.........................................................",a.Txt,T28
Other License Taxes,Other License Taxes,    Other licenses.....................................................................................................,a.Txt,T29
Total Income Taxes,Total Income Taxes,  Total Income Taxes.............................................................................................,a.Txt,DDD
Individual Income Tax,Individual Income Tax,    Individual income tax (includes code T49).......................................................,a.Txt,T40
Corp Net Income Tax,Corp Net Income Tax,    Corporation net income tax............................................................................,a.Txt,T41
Death and Gift Tax,Death and Gift Tax,  Death and Gift Tax...............................................................................................,a.Txt,T50
Docum and Stock Tr Tax,Docum and Stock Tr Tax,  Documentary and Stock Transfer Tax.............................................................,a.Txt,T51
Severance Tax,Severance Tax,  Severance Tax.....................................................................................................,a.Txt,T53
Taxes NEC,Taxes NEC,  Taxes NEC...........................................................................................................,a.Txt,T99
Total IG Revenue,Total IG Revenue,Total Intergovernmental Revenue.........................................................................,a.Txt,DDD
Total Fed IG Revenue,Total Fed IG Revenue,"  Intergovernmental Revenue from Federal Government, Total...............................",a.Txt,B--
Fed IGR-Air Transport,Fed IGR-Air Transport,    Air transportation (airports)..............................................................................,a.Txt,B01
Fed IGR-Education,Fed IGR-Education,    Education..........................................................................................................,a.Txt,B21
Fed IGR-Emp Sec Adm,Fed IGR-Emp Sec Adm,    Employment security (social insurance) administration....................................,a.Txt,B22
Fed IGR-Gen Rev Shar,Fed IGR-Gen Rev Shar,      General revenue sharing (obsolete after FY 1987).........................................,a.Txt,B27
Fed IGR-Gen Support,Fed IGR-Gen Support,    General support................................................................................................,a.Txt,DDD
Fed IGR-Health & Hos,Fed IGR-Health & Hos,    Health and hospitals.......................................................................................,a.Txt,B42
